metro_id,metro_name,nearest_bus_distance_m,bus_stops,bus_routes,catchment_scheduled_trips,morning_service,evening_service,evening_morning_ratio,top_route_share,top_5_share,lat,lon
SEC_E,Secunderabad East,135.24537631099838,11,496,12726,2574,2526,0.9813519813519813,0.05091937765205092,0.18772591544868772,17.4357184,78.5054623
SCR,Secunderabad West,224.22042547805006,2,354,8234,1621,1614,0.9956816779765577,0.07043964051493806,0.2532183628855963,17.4338034,78.4995181
PRG,Parade Ground,88.29482628866916,16,345,8823,1766,1739,0.9847112117780294,0.07344440666439986,0.2658959537572254,17.4431943,78.4974687
JBS,JBS Parade Ground,158.69317080302497,13,344,8797,1756,1731,0.9857630979498861,0.07366147550301239,0.2666818233488689,17.4444775,78.497584
SUB,Sultan Bazar,46.47745603374998,9,279,5716,1194,1103,0.923785594639866,0.042687193841847444,0.19314205738278517,17.3844473,78.4840241
MKL,Malakpet,22.092637076388385,9,259,4253,885,808,0.9129943502824859,0.05572537032682812,0.22595814719021867,17.3771888,78.4939356
OMC,Osmania Medical College,18.22460950519411,10,234,6307,1236,1237,1.000809061488673,0.04265102267322023,0.19517995877596322,17.3820769,78.4817011
LBN,L. B. Nagar,28.14853407987437,4,213,3557,692,773,1.1170520231213872,0.12454315434354793,0.313466404273264,17.349846,78.5479412
LKP,Lakdi-ka-pul,28.701625894781394,10,194,5215,1055,1067,1.0113744075829383,0.06021093000958773,0.2521572387344199,17.4040433,78.4649442
DSN,Dilsukh Nagar,166.77436068017465,4,188,3453,710,689,0.9704225352112676,0.05154937735302635,0.23457862728062553,17.3685493,78.5253873
NEM,New Market,112.80991505713885,5,180,2279,500,450,0.9,0.07634927599824484,0.30144800351031154,17.3734454,78.5031791
TAR,Tarnaka,118.44218531289354,7,176,3642,717,734,1.0237099023709901,0.11998901702361339,0.37753981328940145,17.4274418,78.5300079
MET,Mettuguda,124.13186414355016,4,172,3791,754,749,0.993368700265252,0.11527301503561066,0.38222104985491956,17.4355207,78.5195754
CHP,Chaitanyapuri,11.394214040632265,10,172,3137,657,639,0.9726027397260274,0.05610455849537775,0.23685049410264583,17.3681501,78.5381335
PAR,Paradise,36.337354154450935,11,167,4062,840,790,0.9404761904761905,0.1275233874938454,0.41285081240768096,17.4434668,78.4862436
UPL,Uppal,17.74004479717623,7,160,5293,1011,1012,1.0009891196834817,0.1702248252408842,0.42924617419232947,17.4000665,78.5601868
VOM,Victoria Memorial,88.29442669166566,6,159,2756,553,556,1.0054249547920433,0.06458635703918723,0.2797532656023222,17.3618565,78.5439622
GAB,Gandhi Bhavan,237.86334581897265,6,154,3341,682,659,0.966275659824047,0.1532475306794373,0.4298114337024843,17.3858253,78.4733347
MSB,Musarambagh,235.5421473630406,5,148,2527,538,511,0.949814126394052,0.06964780371982587,0.27502967946181245,17.3710873,78.5119545
ASM,Assembly,190.5524328610701,6,147,3798,784,758,0.9668367346938775,0.13480779357556608,0.37546076882569773,17.3979907,78.4708797
MGB,Mahatma Gandhi Bus Station,268.38261111418797,5,146,2354,448,433,0.9665178571428571,0.07476635514018691,0.28462192013593884,17.3797886,78.4861571
NAM,Nampally,13.71390630342889,8,139,3137,676,634,0.9378698224852071,0.08638826904686006,0.3758367867389225,17.392222,78.4701612
PUN,Panjagutta,36.11626799141209,10,134,4012,843,837,0.9928825622775801,0.07577268195413758,0.3282652043868395,17.4289362,78.450955
HSG,Habsiguda,148.82386002781666,3,132,2862,559,584,1.0447227191413238,0.15269042627533194,0.4723969252271139,17.42018,78.540548
MSP,Moosapet,103.92101207335492,6,127,3777,768,726,0.9453125,0.17182949430765157,0.37781307916335716,17.4718855,78.4261182
SRN,S. R. Nagar,17.319143331102545,4,110,3309,705,695,0.9858156028368794,0.08643094590510729,0.2991840435176791,17.4431205,78.4407241
NGR,NGRI,83.9580004975885,4,108,2216,423,451,1.066193853427896,0.19720216606498195,0.5916064981949458,17.4148264,78.5463345
STD,Stadium,210.7842383194565,2,105,2134,411,427,1.0389294403892944,0.2047797563261481,0.6143392689784443,17.4074002,78.5542531
MUN,Madhura Nagar,74.16183267273894,5,99,3596,737,737,1.0,0.08731924360400445,0.32953281423804226,17.4369652,78.4390993
KUK,Kukatpally,134.33031804954132,3,98,3060,639,607,0.9499217527386542,0.21209150326797385,0.44607843137254904,17.4849033,78.4117896
ESI,ESI Hospital,18.140498483629536,4,93,2933,621,610,0.9822866344605475,0.0968291851346744,0.31230821684282306,17.4486969,78.4376283
NAG,Nagole,25.87562046752266,2,92,2895,552,538,0.9746376811594203,0.31122625215889466,0.7139896373056995,17.3907683,78.5588222
KPH,KPHB Colony,139.5245944988669,4,88,2717,582,544,0.9347079037800687,0.2388663967611336,0.4965034965034965,17.4937602,78.4018258
ERA,Erragadda,99.91434472951484,4,85,1574,310,307,0.9903225806451613,0.08386277001270648,0.2827191867852605,17.4570487,78.4335811
NAR,Narayanaguda,12.92575101504808,14,82,1954,422,359,0.8507109004739336,0.09416581371545547,0.33418628454452404,17.3943658,78.4899578
AME,Ameerpet,66.87905147924235,7,80,2373,490,508,1.036734693877551,0.1639275179098188,0.3994943109987358,17.4357214,78.4447933
BLR,Balanagar,180.13373016755895,4,76,1763,364,344,0.945054945054945,0.1888825865002836,0.476460578559274,17.4767464,78.4221082
ROP,Rasoolpura,149.86998030880034,4,75,2124,408,429,1.0514705882352942,0.18455743879472694,0.614406779661017,17.443612,78.4764053
BEG,Begumpet,319.551892319755,6,74,2091,403,429,1.064516129032258,0.1874701099952176,0.624103299856528,17.4375661,78.4569341
IRM,Erra Manzil,37.45807538635781,4,74,2244,481,481,1.0,0.12745098039215685,0.44385026737967914,17.4202292,78.4563489
RTC,RTC Cross Roads,117.9590220312144,8,70,1951,405,371,0.9160493827160494,0.0999487442337263,0.3675038441824705,17.4070321,78.4968023
CDP,Chikkadpally,198.4035608616893,9,68,1685,359,323,0.8997214484679665,0.10919881305637982,0.39643916913946586,17.4003634,78.4948964
PRN,Prakash Nagar,96.17797516753507,4,67,1996,381,409,1.073490813648294,0.19488977955911824,0.6523046092184369,17.4448889,78.4658749
KHA,Khairatabad,137.96444181602155,4,67,2184,450,467,1.0377777777777777,0.13095238095238096,0.4565018315018315,17.4116323,78.4608678
MSH,Musheerabad,104.74902808404285,4,66,1923,407,374,0.918918918918919,0.10140405616224649,0.37285491419656785,17.4178744,78.4995051
BTN,Bharat Nagar,179.5356134470024,3,66,1415,294,277,0.9421768707482994,0.1088339222614841,0.36042402826855124,17.4629092,78.4305364
MYP,Miyapur,206.70780055117618,2,64,2083,440,414,0.9409090909090909,0.3086893903024484,0.6188190110417667,17.4965452,78.3730262
GNH,Gandhi Hospital,149.9385717198449,4,62,1812,380,348,0.9157894736842105,0.1076158940397351,0.3956953642384106,17.4255155,78.501956
JNT,JNTU College,107.85735652272986,5,62,2270,486,451,0.9279835390946503,0.2740088105726872,0.5903083700440529,17.4987037,78.3888668
HTC,HITEC City,120.95123178301338,6,47,1531,316,324,1.0253164556962024,0.256041802743305,0.7629000653167864,17.4490055,78.3831376
RDG,Raidurg,16.536711540770447,6,34,577,126,126,1.0,0.4038128249566724,0.7209705372616985,17.442,78.3772038
JCP,Jubilee Hills Checkpost,82.9061871940942,5,26,938,197,203,1.0304568527918783,0.417910447761194,0.9072494669509595,17.4281969,78.4137145
PED,Peddamma Gudi,162.9329216605499,6,25,1019,206,215,1.0436893203883495,0.38469087340529934,0.9214916584887144,17.4306512,78.4083721
DGC,Durgam Cheruvu,117.68845766100505,4,18,968,207,206,0.9951690821256038,0.4018595041322314,0.9493801652892562,17.4429466,78.3875721
MAD,Madhapur,74.18667426189478,2,15,516,98,115,1.1734693877551021,0.4166666666666667,0.936046511627907,17.4372637,78.4004257
YUG,Yusufguda,170.43080578573228,5,14,995,195,217,1.1128205128205129,0.39396984924623113,0.9316582914572864,17.4351132,78.4273216
JR5,Road No 5 Jubilee Hills,180.97379262365672,5,8,480,98,106,1.0816326530612246,0.8166666666666667,0.9875,17.4300489,78.4232069
