metro_station,metro_lat,metro_lon,mmts_station,mmts_distance_m,bus_stops_500m,bus_routes_500m,bus_trips_500m
Bharat Nagar,17.4629092,78.4305364,BHARATNAGAR,56,3,66,1415
Malakpet,17.3771888,78.4939356,MALAKPET,110,9,259,4253
Khairatabad,17.4116323,78.4608678,KHAIRATABAD,151,4,67,2184
Begumpet,17.4375661,78.4569341,BEGUMPET,180,6,74,2091
Lakdi-ka-pul,17.4040433,78.4649442,LAKDIKAPUL,189,10,194,5215
Secunderabad West,17.4338034,78.4995181,SECUNDERABAD,219,2,354,8234
Nampally,17.392222,78.4701612,HYDERABAD,274,8,139,3137
Secunderabad East,17.4357184,78.5054623,SECUNDERABAD,467,11,496,12726
Assembly,17.3979907,78.4708797,HYDERABAD,708,6,147,3798
Erragadda,17.4570487,78.4335811,BHARATNAGAR,712,4,85,1574
Mettuguda,17.4355207,78.5195754,SITAFALMANDI,793,4,172,3791
Erra Manzil,17.4202292,78.4563489,NECKLACE ROAD,808,4,74,2244
Rasoolpura,17.443612,78.4764053,SANJEEVAIAH PARK,890,4,75,2124
Gandhi Hospital,17.4255155,78.501956,SECUNDERABAD,915,4,62,1812
Gandhi Bhavan,17.3858253,78.4733347,HYDERABAD,956,6,154,3341
New Market,17.3734454,78.5031791,MALAKPET,958,5,180,2279
Mahatma Gandhi Bus Station,17.3797886,78.4861571,MALAKPET,982,5,146,2354
